# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 10000
# id = 1
# data
#   file = bernoulli_1.data.R
# init = 2 (Default)
# random
#   seed = 2640066759
# output
#   file = bernoulli_variational_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,log_p__,log_g__,theta
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.339098
0,-8.09553,-0.321192,0.469454
0,-8.85575,-1.19743,0.151926
0,-7.69734,-0.0618542,0.287722
0,-9.04019,-1.00318,0.57342
0,-7.88923,-0.172472,0.433407
0,-8.65966,-0.994643,0.164331
0,-7.90174,-0.252686,0.240362
0,-7.65046,-0.00524984,0.354883
0,-12.6324,-3.67281,0.76415
0,-11.5613,-2.85717,0.722742
0,-8.09653,-0.321916,0.469607
0,-7.78473,-0.14351,0.262774
0,-7.63828,-0.00132305,0.331304
0,-8.86049,-0.873312,0.557573
0,-8.67698,-1.01237,0.163166
0,-8.54422,-0.877337,0.172499
0,-8.56122,-0.894515,0.17125
0,-7.67008,-0.0357975,0.299589
0,-8.43473,-0.565984,0.514026
0,-8.71489,-0.768179,0.543761
0,-7.63825,-0.000346106,0.3351
0,-7.92203,-0.271718,0.237114
0,-7.68514,-0.0502802,0.292569
0,-7.63843,-0.000154767,0.336422
0,-9.55174,-1.37386,0.612967
0,-7.87246,-0.160414,0.42992
0,-8.11049,-0.450506,0.212028
0,-8.01002,-0.259503,0.455751
0,-11.2404,-2.6166,0.708513
0,-9.95518,-2.41591,0.103218
0,-7.79426,-0.104375,0.411771
0,-11.8424,-3.0693,0.734459
0,-10.1182,-1.78689,0.649789
0,-7.6656,-0.0314268,0.302001
0,-7.671,-0.0366954,0.299113
0,-8.36469,-0.515438,0.505765
0,-7.67265,-0.0382895,0.298284
0,-7.7318,-0.0942034,0.276386
0,-8.04762,-0.390431,0.21957
0,-8.734,-0.781974,0.545629
0,-7.6461,-0.00280752,0.350609
0,-7.64529,-0.0106405,0.317235
0,-7.85012,-0.14437,0.425083
0,-8.27695,-0.452125,0.494818
0,-7.94135,-0.289873,0.234146
0,-7.63857,-0.00200857,0.329508
0,-7.63875,-0.00236077,0.328707
0,-8.15963,-0.497768,0.206565
0,-7.64097,-0.0055715,0.323202
0,-8.01641,-0.264109,0.456825
0,-8.40659,-0.739521,0.183284
0,-7.79793,-0.155797,0.259826
0,-7.77264,-0.132263,0.265606
0,-8.2575,-0.438083,0.492288
0,-8.16194,-0.369117,0.479239
0,-8.30243,-0.470513,0.498072
0,-7.90588,-0.256559,0.239689
0,-7.74579,-0.0699226,0.398183
0,-7.70084,-0.0651609,0.286431
0,-8.42813,-0.76095,0.18151
0,-7.74223,-0.10393,0.273424
0,-8.24439,-0.428626,0.490562
0,-7.69857,-0.0630164,0.287264
0,-7.89995,-0.18019,0.435579
0,-7.65344,-0.0192725,0.309852
0,-9.03056,-0.996214,0.572601
0,-8.91197,-0.910505,0.562239
0,-7.65211,-0.00622204,0.356299
0,-8.26253,-0.44172,0.492947
0,-7.6978,-0.0622862,0.287551
0,-7.74452,-0.106073,0.272792
0,-7.70893,-0.0727802,0.283587
0,-8.33763,-0.671304,0.189204
0,-9.59178,-1.99796,0.116444
0,-8.07719,-0.418632,0.215938
0,-8.53826,-0.87133,0.17294
0,-11.1293,-2.53362,0.703351
0,-7.90961,-0.260058,0.239086
0,-7.88752,-0.239362,0.242728
0,-7.99375,-0.247766,0.452973
0,-11.4162,-2.7482,0.716427
0,-7.82246,-0.124536,0.418735
0,-7.7261,-0.0560544,0.391825
0,-7.72059,-0.0521969,0.389926
0,-7.79165,-0.149948,0.261211
0,-7.64789,-0.0134813,0.314542
0,-9.11469,-1.05706,0.579652
0,-9.95131,-2.41139,0.103348
0,-7.9482,-0.214932,0.444848
0,-7.74793,-0.109245,0.271871
0,-7.66293,-0.0129557,0.364042
0,-8.15813,-0.36637,0.478696
0,-7.698,-0.0364985,0.381401
0,-7.74277,-0.104436,0.273274
0,-8.46909,-0.590777,0.517941
0,-8.95734,-1.30423,0.146102
0,-7.63983,-0.00404695,0.325526
0,-7.63881,-0.00246417,0.328484
0,-8.0036,-0.254867,0.454661
0,-9.33748,-1.71438,0.12715
0,-8.22153,-0.557694,0.200137
0,-7.74935,-0.110573,0.27149
0,-7.83927,-0.194302,0.251394
0,-7.91788,-0.26782,0.237767
0,-7.63981,-9.02573e-05,0.341148
0,-7.78241,-0.14135,0.263307
0,-8.90512,-0.905558,0.561625
0,-8.49797,-0.830777,0.175984
0,-7.91571,-0.265787,0.23811
0,-7.81043,-0.115926,0.415832
0,-7.69769,-0.0362856,0.381274
0,-9.05927,-1.41258,0.140613
0,-7.85962,-0.213288,0.247607
0,-8.14156,-0.354413,0.476306
0,-7.64111,-0.00574841,0.322955
0,-9.70978,-2.13204,0.111907
0,-9.79707,-1.55236,0.629667
0,-10.5498,-2.104,0.674259
0,-8.01318,-0.261783,0.456284
0,-8.79997,-1.13929,0.155288
0,-8.318,-0.651979,0.190962
0,-8.81947,-1.15957,0.154099
0,-7.72747,-0.0570126,0.392287
0,-8.01519,-0.263226,0.45662
0,-13.701,-4.50761,0.798072
0,-9.03693,-1.00082,0.573143
0,-8.10969,-0.449736,0.21212
0,-8.02707,-0.370896,0.22219
0,-7.64989,-0.0155965,0.312725
0,-8.26983,-0.604766,0.195426
0,-9.10957,-1.4665,0.138022
