# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 10000
# id = 3
# data
#   file = bernoulli_3.data.R
# init = 2 (Default)
# random
#   seed = 2640066759
# output
#   file = bernoulli_variational_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,log_p__,log_g__,theta
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.331
0,-7.6652,-0.0180109,0.302225
0,-7.63844,-1.34532e-05,0.330195
0,-7.65065,-0.011593,0.35505
0,-7.68665,-0.0338238,0.291935
0,-7.78098,-0.106448,0.263639
0,-8.41833,-0.646355,0.182313
0,-13.7433,-4.4247,0.799289
0,-10.3352,-2.57968,0.0914482
0,-8.00883,-0.280818,0.45555
0,-7.76505,-0.093955,0.267456
0,-8.81989,-1.01597,0.154073
0,-8.11019,-0.377143,0.212063
0,-8.08375,-0.354688,0.215154
0,-7.67423,-0.02461,0.297507
0,-7.63873,-0.000973,0.337884
0,-7.82601,-0.146243,0.419576
0,-9.0402,-1.01626,0.573421
0,-10.269,-2.50607,0.0933672
0,-8.30956,-0.49784,0.498971
0,-7.64166,-0.00169274,0.322031
0,-8.04357,-0.320784,0.22008
0,-7.74028,-0.0817328,0.396465
0,-7.67133,-0.0224816,0.298946
0,-7.65442,-0.0102933,0.309116
0,-7.96864,-0.258266,0.23014
0,-7.63993,-0.000683307,0.325287
0,-7.69989,-0.043771,0.286776
0,-8.78579,-0.983806,0.156163
0,-7.70921,-0.05083,0.283494
0,-7.82487,-0.14125,0.25421
0,-7.68407,-0.0383956,0.375336
0,-8.54603,-0.761691,0.172365
0,-13.404,-4.16825,0.789268
0,-9.05132,-1.2379,0.141029
0,-10.1557,-2.3811,0.096777
0,-8.54692,-0.762503,0.172299
0,-8.48809,-0.709102,0.176746
0,-7.91982,-0.215662,0.439488
0,-10.928,-3.2606,0.0762835
0,-7.64014,-0.000798123,0.324827
0,-7.80126,-0.122468,0.259104
0,-7.63977,-0.00206962,0.341063
0,-7.95717,-0.248782,0.231799
0,-7.75671,-0.0874427,0.269562
0,-7.93087,-0.227129,0.235741
0,-7.63867,-0.000907357,0.337647
0,-8.42011,-0.647945,0.182167
0,-8.28521,-0.528411,0.193977
0,-7.83657,-0.154106,0.422028
0,-8.01366,-0.284336,0.456364
0,-8.30131,-0.542552,0.192484
0,-8.4613,-0.684928,0.178844
0,-7.64023,-0.000845626,0.324647
0,-16.7138,-6.76603,0.867067
0,-8.82039,-1.01644,0.154043
0,-7.68734,-0.0343341,0.291652
0,-8.4212,-0.577615,0.51246
0,-7.73224,-0.0684662,0.27626
0,-7.74677,-0.0866652,0.398483
0,-7.69451,-0.0465509,0.379952
0,-7.96608,-0.256141,0.230508
0,-7.67698,-0.0266382,0.296195
0,-7.63873,-0.000101985,0.328787
0,-8.79971,-0.996921,0.155304
0,-7.95574,-0.242026,0.446232
0,-7.91333,-0.210887,0.438226
0,-8.00456,-0.2777,0.454825
0,-7.97302,-0.261895,0.229515
0,-8.10878,-0.375941,0.212225
0,-7.75568,-0.0934241,0.401163
0,-7.64912,-0.0103162,0.353666
0,-7.72024,-0.0664205,0.389802
0,-7.72326,-0.0615655,0.278951
0,-9.65178,-1.44767,0.619929
0,-7.87791,-0.184761,0.431067
0,-7.92603,-0.22023,0.440684
0,-7.76348,-0.0927272,0.267847
0,-9.29693,-1.19738,0.59417
0,-8.9048,-1.09666,0.149068
0,-8.08243,-0.35357,0.215311
0,-9.54318,-1.37105,0.612361
0,-8.41291,-0.641507,0.182759
0,-7.85413,-0.164716,0.248608
0,-8.09729,-0.345065,0.469722
0,-7.67471,-0.0310241,0.370742
0,-7.66027,-0.0144527,0.305158
0,-9.4411,-1.29904,0.605002
0,-8.64052,-0.733584,0.536314
0,-8.19484,-0.415481,0.483857
0,-8.77356,-0.972309,0.156924
0,-8.37854,-0.547167,0.50743
0,-10.0154,-1.7046,0.643545
0,-8.24178,-0.490467,0.198131
0,-7.64881,-0.00639138,0.313689
0,-8.3245,-0.508532,0.500839
0,-8.08085,-0.333158,0.467198
0,-10.2186,-1.84849,0.655727
0,-8.91233,-0.925967,0.562271
0,-9.28838,-1.19135,0.593511
0,-8.5476,-0.763122,0.172249
0,-8.028,-0.307713,0.22207
0,-7.75197,-0.0906127,0.400059
0,-8.99181,-0.982104,0.569272
0,-7.63877,-0.0001155,0.328645
0,-8.49527,-0.715599,0.176191
0,-8.26423,-0.465346,0.493168
0,-8.39495,-0.625468,0.184256
0,-7.64652,-0.00483768,0.315912
0,-7.64979,-0.00706307,0.312816
0,-7.68854,-0.0418991,0.377371
0,-9.54218,-1.72914,0.118428
0,-7.63977,-0.000593407,0.325674
0,-8.42767,-0.654719,0.181548
0,-7.66599,-0.0240866,0.365913
0,-7.6618,-0.0207165,0.363325
0,-8.01281,-0.283714,0.45622
0,-8.18164,-0.405975,0.482021
0,-7.72905,-0.0731647,0.392817
0,-8.00842,-0.291331,0.224644
0,-7.74002,-0.0815347,0.396382
0,-7.66472,-0.0230652,0.365148
0,-7.68824,-0.0350076,0.291281
0,-9.37381,-1.55755,0.125536
0,-8.06019,-0.31817,0.463958
0,-7.77943,-0.105231,0.263999
0,-7.85672,-0.166801,0.248134
0,-8.13285,-0.396473,0.209499
0,-8.14342,-0.378415,0.476576
0,-7.65634,-0.016287,0.359592
0,-8.81618,-1.01246,0.154298
0,-12.0723,-3.18088,0.743568
