# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 10000
# id = 2
# data
#   file = bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2640066759
# output
#   file = bernoulli_variational_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,log_p__,log_g__,theta
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.307173
0,-7.72601,-0.160375,0.391793
0,-7.63965,-0.0270754,0.34077
0,-7.77097,-0.0466998,0.26601
0,-7.6803,-0.100908,0.373547
0,-7.65658,-0.0645451,0.35977
0,-7.81703,-0.264822,0.417437
0,-7.81721,-0.265019,0.417481
0,-7.656,-0.0635324,0.35934
0,-8.43074,-0.865047,0.513567
0,-8.77585,-0.867768,0.156781
0,-8.17762,-0.340217,0.204648
0,-7.63854,-0.0123139,0.329632
0,-8.27691,-0.422027,0.194756
0,-7.9591,-0.171564,0.231517
0,-7.64558,-0.0434469,0.350027
0,-8.30519,-0.445819,0.192128
0,-7.7221,-0.0207909,0.279312
0,-7.652,-0.000363374,0.310971
0,-7.70634,-0.0136502,0.284477
0,-7.71602,-0.148028,0.388303
0,-8.32711,-0.464393,0.190142
0,-7.64264,-0.036385,0.346282
0,-7.74565,-0.183989,0.39814
0,-7.7765,-0.2197,0.407066
0,-7.93043,-0.384394,0.441521
0,-7.82975,-0.278658,0.420451
0,-7.87374,-0.111554,0.245095
0,-7.63845,-0.0208775,0.336579
0,-8.44485,-0.87804,0.515188
0,-10.5598,-2.79329,0.0852944
0,-8.11005,-0.286211,0.212078
0,-7.68552,-0.00568553,0.29241
0,-8.51848,-0.945577,0.523425
0,-7.64316,-0.0377295,0.34702
0,-7.64863,-0.00111924,0.313855
0,-7.71981,-0.0197061,0.280028
0,-8.29559,-0.437721,0.193011
0,-7.65115,-0.00050723,0.311663
0,-8.63864,-1.05483,0.536122
0,-12.3151,-4.26578,0.752757
0,-7.64227,-0.00479375,0.321088
0,-7.98476,-0.190373,0.227867
0,-7.97768,-0.432322,0.450168
0,-8.98509,-1.06881,0.144575
0,-7.74776,-0.033819,0.271916
0,-8.47615,-0.593724,0.177675
0,-9.3865,-1.47439,0.124979
0,-7.79152,-0.0587781,0.26124
0,-8.01478,-0.212764,0.223798
0,-7.71722,-0.0184986,0.28085
0,-8.32955,-0.46647,0.189923
0,-7.87792,-0.329984,0.431071
0,-8.67874,-0.777076,0.163049
0,-8.90929,-1.29757,0.561999
0,-8.24995,-0.399545,0.197335
0,-8.30197,-0.4431,0.192423
0,-7.72121,-0.154479,0.390143
0,-7.66579,-0.0795173,0.365793
0,-7.81311,-0.0720132,0.256602
0,-7.84443,-0.294467,0.423812
0,-8.3881,-0.516704,0.184833
0,-8.90924,-0.995067,0.148813
0,-7.7386,-0.175608,0.395933
0,-11.6639,-4.20191,0.0614781
0,-9.89662,-2.02438,0.105206
0,-7.68008,-0.1006,0.373441
0,-7.7413,-0.030407,0.273679
0,-7.6914,-0.00772376,0.290006
0,-7.74497,-0.18319,0.397932
0,-8.08898,-0.269681,0.214533
0,-7.78311,-0.227186,0.40885
0,-10.9193,-3.2346,0.0764815
0,-8.22258,-0.376919,0.200032
0,-7.63943,-0.0261735,0.340191
0,-8.17195,-0.622403,0.48066
0,-7.95851,-0.17113,0.231604
0,-7.75901,-0.199639,0.402142
0,-7.67288,-0.00209177,0.298169
0,-7.6391,-0.0100915,0.327469
0,-7.6897,-0.00711266,0.290688
0,-8.07479,-0.5285,0.466255
0,-7.64871,-0.00109318,0.313776
0,-8.00057,-0.455252,0.454145
0,-7.88218,-0.117281,0.243637
0,-9.10592,-1.18823,0.138208
0,-10.3675,-2.56428,0.0905273
0,-7.8267,-0.0805994,0.253845
0,-7.93645,-0.390549,0.442659
0,-7.64343,-0.00375528,0.319472
0,-9.5483,-1.85962,0.612724
0,-7.72041,-0.153487,0.389862
0,-8.17258,-0.623002,0.480748
0,-7.98093,-0.43559,0.450741
0,-7.64091,-0.0314385,0.343449
0,-8.16059,-0.611517,0.479046
0,-7.77744,-0.0504423,0.264466
0,-7.63822,-0.0149662,0.33198
0,-8.83861,-0.927277,0.152946
0,-7.96412,-0.175212,0.23079
0,-7.82196,-0.0775837,0.254793
0,-7.69036,-0.114782,0.378172
0,-7.67506,-0.00262058,0.297105
0,-7.6425,-0.0360155,0.346077
0,-8.1875,-0.637257,0.48284
0,-7.94848,-0.402809,0.4449
0,-8.75796,-1.16234,0.547948
0,-7.88736,-0.339862,0.433024
0,-7.65156,-0.000433693,0.311323
0,-8.02046,-0.217037,0.223052
0,-7.66641,-0.080478,0.366161
0,-8.75835,-0.851296,0.15788
0,-10.2626,-2.44134,0.0935563
0,-7.66171,-0.0730648,0.363268
0,-7.69814,-0.125138,0.381458
0,-11.7598,-3.77915,0.731087
0,-7.81951,-0.0760348,0.255289
0,-8.98743,-1.0711,0.144447
0,-7.8236,-0.0786234,0.254464
0,-7.97535,-0.429976,0.449756
0,-7.66408,-0.000474778,0.302865
0,-7.96383,-0.418363,0.447698
0,-11.5984,-3.63833,0.724329
0,-7.77551,-0.218577,0.406796
0,-8.75173,-0.845083,0.158298
0,-7.74345,-0.181378,0.397457
0,-8.47241,-0.590412,0.177969
0,-7.70548,-0.13467,0.384373
0,-8.43196,-0.554847,0.181199
0,-8.14928,-0.317388,0.207687
0,-7.65803,-0.067005,0.360801
0,-11.3554,-3.79245,0.0672282
