"","x"
"1",2.12436052377688
"2",1.91851351211854
"3",3.30166512887886
"4",1.38600854207244
"5",0.693304851950868
"6",2.74314275247023
"7",2.74465041959405
"8",2.89895072907377
"9",2.349959750616
"10",1.43093975299606
"11",2.19160455174665
"12",2.39656852963028
"13",2.61922324825791
"14",1.9390512758563
"15",2.73768939642947
"16",3.75504375206385
"17",1.23233634148417
"18",1.43635995957698
"19",1.75892160770317
"20",2.94636529656557
"21",0.718049956662154
"22",1.59882717536249
"23",2.50910139138371
"24",1.93682753262624
"25",2.4729959797693
"26",2.1572918313135
"27",0.90331266007428
"28",2.5478648319908
"29",1.15788076007893
"30",2.50761448692044
"31",2.86307186680621
"32",2.69298549783073
"33",2.59612109852364
"34",2.97539369083994
"35",3.67380322507687
"36",2.29429901722011
"37",1.97118270806379
"38",2.544738017671
"39",2.53324546722812
"40",1.22037117425754
"41",2.43237362809717
"42",1.48219705556446
"43",2.12172862596958
"44",2.91365040181854
"45",3.21866973868191
"46",1.76969977111086
"47",2.56834109234127
"48",3.29268088642128
"49",0.677346145188576
"50",-0.163550920250762
"51",2.92338700649916
"52",2.53238465176847
"53",0.831291502582356
"54",2.94119777357582
"55",1.60512819795915
"56",1.47210944076777
"57",1.64284452982452
"58",1.86918388289958
"59",3.15316570641996
"60",2.5494276196306
"61",2.25459750674291
"62",2.80112265779481
"63",1.29263969381244
"64",0.849963029374525
"65",0.845104259204783
"66",2.45301498955008
"67",1.83568223799706
"68",1.44152638399531
"69",2.33041388988923
"70",0.982641687700432
"71",4.08535046160591
"72",2.3856163050646
"73",1.22279817538595
"74",0.891567640428877
"75",0.816249476012777
"76",2.24364349184662
"77",1.48001437533228
"78",2.24283216159022
"79",1.76191006744405
"80",2.11538086348721
"81",2.19485598363258
"82",1.34454090684022
"83",2.95485753863802
"84",1.46569804300396
"85",2.03191591208476
"86",0.406722700476621
"87",2.23500352668643
"88",2.70270737082213
"89",1.21400089528487
"90",1.80023579855312
"91",2.53200626549148
"92",3.10571719751295
"93",2.21445122343119
"94",2.46823771587268
"95",1.39046585418751
"96",2.47411014783219
"97",1.33799258561516
"98",2.87513222252556
"99",0.641276888320428
"100",2.3326126176173
